,FECHA,AFECTADOS,MUERTOS,UCI,Altas,PCR,Req Hospital
0,5/3/20,1.0,0,1,0.0,1,
1,6/3/20,6.0,1,1,0.0,6,
2,9/3/20,13.0,1,1,0.0,13,
3,10/3/20,38.0,3,3,0.0,38,
4,11/3/20,45.0,4,3,0.0,45,
5,12/3/20,64.0,6,3,0.0,64,
6,13/3/20,80.0,7,3,0.0,80,
7,14/3/20,80.0,7,3,0.0,80,
8,15/3/20,174.0,11,7,0.0,174,
9,16/3/20,207.0,12,9,0.0,207,
10,17/3/20,226.0,13,9,0.0,226,
11,18/3/20,281.0,15,14,0.0,281,
12,19/3/20,360.0,17,28,0.0,360,
13,20/3/20,424.0,22,33,0.0,424,
14,21/3/20,532.0,24,45,3.0,532,
15,22/3/20,638.0,32,52,3.0,638,
16,23/3/20,758.0,37,66,3.0,758,
17,24/3/20,907.0,40,75,4.0,907,
18,25/3/20,1116.0,48,93,4.0,1116,
19,26/3/20,1338.0,58,114,8.0,1338,
20,27/3/20,1592.0,58,124,8.0,1592,
21,28/3/20,1858.0,93,124,8.0,1858,
22,29/3/20,2078.0,106,156,174.0,2078,
23,30/3/20,2272.0,138,165,204.0,2272,
24,31/3/20,2491.0,169,168,257.0,2491,
25,1/4/20,2700.0,200,178,320.0,2700,
26,2/4/20,2889.0,224,180,378.0,2889,
27,3/4/20,3078.0,251,190,440.0,3078,
28,4/4/20,3232.0,270,233,537.0,3232,
29,5/4/20,3347.0,284,237,565.0,3347,
30,6/4/20,3449.0,312,247,578.0,3449,
31,7/4/20,3549.0,349,255,659.0,3549,
32,8/4/20,3685.0,385,261,718.0,3685,
33,9/4/20,3831.0,409,263,797.0,3831,
34,10/4/20,3969.0,425,266,888.0,3969,
35,11/4/20,4070.0,450,272,934.0,4070,
36,12/4/20,4187.0,464,274,946.0,4187,
37,13/4/20,4245.0,492,280,963.0,4245,
38,14/4/20,4338.0,514,282,1012.0,4338,
39,15/4/20,4566.0,543,291,1087.0,4566,
40,16/4/20,4664.0,562,240,1132.0,4489,
41,17/4/20,4761.0,601,243,1121.0,4551,
42,18/4/20,4831.0,619,246,1175.0,4608,
43,19/4/20,4886.0,637,248,1178.0,4654,
44,20/4/20,4938.0,643,250,1182.0,4684,
45,21/4/20,5054.0,656,252,1530.0,4761,
46,22/4/20,5237.0,681,253,1680.0,4833,
47,23/4/20,5295.0,695,254,1781.0,4867,
48,24/4/20,5382.0,709,255,1929.0,4922,
49,25/4/20,5456.0,712,257,1960.0,4955,
